timestamp,temp,humid
1439249542.723, 77.9, 56.2
1439249593.325, 78.1, 56.3
1439249611.147, 78.1, 56.5
1439249646.926, 78.1, 56.6
1439249655.493, 78.1, 56.6
1439249669.035, 78.3, 56.7
1439249683.841, 78.3, 56.8
1439249693.535, 78.3, 57.1
1439249700.217, 78.3, 57.1
1439249718.921, 78.3, 56.9
1439249875.252, 78.3, 56.9
1439250433.711, 78.6, 57.0
1439250439.280, 78.4, 57.0
1439250871.147, 77.9, 55.2
1439253953.972, 77.9, 55.2
1439479177.907, 78.3, 50.6
1439479321.916, 78.1, 50.1
1439479389.880, 77.9, 50.0
1439479449.871, 77.9, 49.8
1439479506.284, 77.9, 50.1
1439479576.348, 77.7, 49.5
1439479622.214, 77.7, 49.3
1439479714.026, 77.4, 49.0
1439479748.998, 77.5, 49.0
1439479808.968, 77.4, 48.8
1439479890.238, 77.2, 48.7
1439479932.747, 77.0, 48.5
1439480025.180, 77.0, 48.6
1439480052.709, 76.8, 48.7
1439480113.217, 77.0, 49.0
1439480169.190, 77.0, 48.2
1439480229.166, 77.0, 48.4
1439480289.142, 76.8, 49.6
1439480349.109, 77.0, 50.4
1439480426.808, 77.2, 50.3
1439480473.318, 77.4, 50.6
1439480536.381, 77.5, 50.6
1439480596.436, 77.5, 50.9
1439480645.858, 77.7, 50.7
1439480706.276, 77.9, 50.7
1439480769.240, 77.9, 50.6
1439480822.106, 77.9, 48.4
1439480896.166, 77.9, 49.6
1439480949.129, 77.7, 50.5
1439481009.091, 77.7, 51.4
1439481083.249, 77.7, 51.7
1439481139.851, 77.7, 51.8
1439481182.716, 77.9, 52.1
1439481246.127, 77.9, 52.2
1439481309.090, 77.9, 52.2
1439481379.701, 77.9, 52.3
1439481433.209, 77.9, 52.3
1439481485.621, 77.9, 52.2
1439481549.580, 77.9, 52.1
1439481623.730, 77.9, 52.1
1439481666.147, 78.1, 52.1
1439481725.560, 77.9, 52.1
1439481782.426, 78.1, 52.1
1439481842.295, 78.1, 52.1
1439481912.798, 78.1, 52.2
1439481962.665, 78.1, 52.3
1439482022.533, 78.3, 52.2
1439482089.494, 78.1, 52.5
1439482142.358, 78.1, 52.4
1439482205.767, 78.1, 52.3
1439482262.634, 78.3, 52.5
1439482322.503, 78.3, 52.3
1439482393.008, 78.3, 52.5
1439482441.873, 78.3, 52.5
1439482509.831, 78.3, 52.6
1439482569.790, 78.3, 52.8
1439482622.783, 78.3, 52.8
1439482689.741, 78.3, 52.8
1439482749.704, 78.3, 52.8
1439482809.671, 78.3, 53.2
1439482869.643, 78.3, 53.1
1439482926.061, 78.3, 52.9
1439482999.669, 78.3, 52.7
1439483049.630, 78.3, 52.8
1439483116.694, 78.3, 52.8
1439483162.565, 78.4, 52.6
1439483222.426, 78.4, 52.6
1439483282.291, 78.4, 52.8
1439483359.892, 78.3, 52.9
1439483420.493, 78.4, 52.9
1439483469.457, 78.4, 52.9
